cast,country,Year,Quarter,Month,Day,description,director,duration,listed_in,rating,Sum of release_year,show_id,title,type
"","",,,,,"""After getting disqualified from the Summer Slam Battle Round, Miss D decides she needs to focus on what really matters: growing her girls into amazing dancers. The Dolls will still have a battle every week but Miss D is pushing them to think bigger, prepping them for a once-in-a-lifetime opportunity:","",2 Seasons,TV Shows,TV-PG,2018,s2961,Bring It,TV Show
"","",,,,,"""Appointment in Tokyo"" is the film story of four years of Pacific war detailing the history of the defeat of Japan.","Major Jack, Hively Captain, Jess Lasky Jr.",54 min,Special Interest,NR,1945,s3230,Appointment in Tokyo,Movie
"","",,,,,"""Black Boys"" illuminates the full spectrum of Black male humanity in America through an intimate, intergenerational conversation at the intersection of sports, education and criminal justice.",Sonia Lowman,90 min,Documentary,16+,2020,s3060,Black Boys,Movie
"","",,,,,"""Black, White & Us"" explores racism in America through the lives of four white families who adopt African American children and must overcome their own inherent biases to become advocates. Is there a way to fix our country's racial divide? These transracial adoptive families just might provide the answer.",Loki Mulholland,75 min,"Documentary, Kids",13+,2019,s3049,"Black, White & Us",Movie
"","",,,,,"""Celebrity Home Raiders"" takes viewers on tours of famous people's homes to find treasures that they can auction off for charity. Looking through the homes with the stars are host Kit Hoover and auctioneers Darren Julien and Martin Nolan, who discuss each item's sentimental value while haggling with the star over what it would be worth at auction.","",1 Season,TV Shows,TV-PG,2014,s2893,Celebrity Home Raiders,TV Show
"","",,,,,"""Celebrity House Hunting,"" allows viewers a peek inside the lives of the rich and famous as they show off their current homes and tour more amazing ones on the market.","",1 Season,TV Shows,TV-PG,2012,s2892,Celebrity House Hunting,TV Show
"","",,,,,"""Dolly's Stories"" is a funny cartoon for children. Dolly is a pretty little sheep that loves her family and friends and always ready to help them. She likes to walk with her friends and to find adventure. let's have fun and play with Dolly and her best friends! They always get into an interesting stories and you will never get bored with them!","",1 Season,"Animation, Kids",ALL,2018,s4590,Dolly's Stories,TV Show
"","",,,,,"""Golden Turkey"" fans, attention! It's a veritable voyage to the bottom of the sci-fi barrel as prehistoric ""Slime People"" emerge from the sewers of Los Angeles! The atom-age U.S. army is no match for this small band of spear-toting boogeymen and the city is evacuated.",Robert Hutton,77 min,Science Fiction,13+,2021,s9419,The Slime People,Movie
"","",,,,,"""I'm just saying 'read the air' a little more.""""You are using 'air' to mean situation.""Mitsuya Majime, an awkward salesman, and Masashi Nishioka, an easy-going dictionary editor meet by coincidence. Genbu Book's veteran dictionary editor Araki is looking for a successor. He hears about Majime from Nishioka and decides to meet him.This is a story about the clumsy people who live for words.(C)GDED","",1 Season,Anime,TV-NR,2016,s5220,The Great Passage,TV Show
"","",,,,,"""Jesus: His Life explores the story of Jesus Christ through the people in his life who were closest to him. Each of the 8 chapters is told from the perspective of different biblical figures, all of whom played a pivotal role – Joseph, John the Baptist, Mary Mother of Jesus, Caiaphas, Judas Iscariot, Pontius Pilate, Mary Magdalene and Peter.","",1 Season,"Documentary, Special Interest",TV-PG,2019,s2032,Jesus: His Life,TV Show
