country,Sum of budget,genre,language,r date,Sum of revenue,Sum of score,title
AU,460000000,"Science Fiction, Adventure, Action", English,2022-12-15 00:00:00,2316794914,78,Avatar: The Way of Water
AU,400000000,"Adventure, Science Fiction, Action", English,2019-04-24 00:00:00,2794731755,83,Avengers: Endgame
AU,379000000,"Adventure, Action, Fantasy", English,2011-05-19 00:00:00,1045713802,65,Pirates of the Caribbean: On Stranger Tides
AU,365000000,"Action, Adventure, Science Fiction", English,2015-04-23 00:00:00,1395316979,73,Avengers: Age of Ultron
US,340000000,"Action, Crime, Thriller", English,2023-05-19 00:00:00,0,0,Fast X
AU,339300000,"Adventure, Drama, Family", English,2019-07-17 00:00:00,2633927421,142,The Lion King
AU,339300000,"Family, Animation, Drama", English,1994-08-25 00:00:00,2633927421,166,The Lion King
TH,310800000,"Action, Comedy", Thai,2023-04-06 00:00:00,1033907627.8,40,Thunder Monk
AU,309000000,"Action, Adventure, Drama", English,2010-05-12 00:00:00,407669018,128,Robin Hood
AU,309000000,"Adventure, Action, Thriller", English,2019-02-01 00:00:00,407669018,118,Robin Hood
AU,309000000,"Animation, Family", English,2013-09-11 00:00:00,407669018,146,Robin Hood
AU,300000000,"Action, Adventure, Science Fiction", English,2017-11-16 00:00:00,655945209,61,Justice League
AU,300000000,"Action, Adventure, Thriller", English,2015-11-12 00:00:00,879077344,65,Spectre
AU,300000000,"Adventure, Action, Science Fiction", English,2018-04-25 00:00:00,2048359754,83,Avengers: Infinity War
AU,300000000,"Adventure, Fantasy, Action", English,2007-05-24 00:00:00,961000000,72,Pirates of the Caribbean: At World's End
US,294700000,"Adventure, Action", English,2023-06-30 00:00:00,1240261.6,0,Indiana Jones and the Dial of Destiny
AU,290000000,"Adventure, Fantasy, Drama, Action", English,2020-09-04 00:00:00,373473540,138,Mulan
AU,290000000,"Animation, Family, Adventure", English,1998-09-03 00:00:00,373473540,158,Mulan
US,290000000,"Action, Adventure, Thriller", English,2023-07-14 00:00:00,1240261.6,0,Mission: Impossible - Dead Reckoning Part One
AU,285000000,"Action, Drama, Science Fiction", English,2014-05-15 00:00:00,905076069,126,Godzilla
AU,285000000,"Science Fiction, Action, Adventure", English,2012-04-25 00:00:00,1563685627,154,The Avengers
AU,285000000,"Science Fiction, Action, Thriller", English,1998-06-11 00:00:00,905076069,112,Godzilla
AU,285000000,"Thriller, Science Fiction, Action, Adventure", English,1998-11-05 00:00:00,1563685627,88,The Avengers
JP,285000000,"Thriller, Horror, Science Fiction", Japanese,1954-11-03 00:00:00,905076069,152,Godzilla
AU,275000000,"Adventure, Action, Fantasy", English,1999-06-24 00:00:00,826339393,138,The Mummy
AU,275000000,"Adventure, Action, Science Fiction", English,2019-12-19 00:00:00,1072767997,64,Star Wars: The Rise of Skywalker
AU,275000000,"Fantasy, Thriller, Action, Adventure, Horror", English,2017-06-08 00:00:00,826339393,110,The Mummy
AU,275000000,"Science Fiction, Adventure, Action", English,2018-05-24 00:00:00,393151347,66,Solo: A Star Wars Story
BR,264940000,Comedy, Portuguese,2022-07-29 00:00:00,175269998.8,0,Hora de Brilhar
ES,264940000,Comedy," Spanish, Castilian",2023-03-24 00:00:00,175269998.8,0,GyG 2: El Hotel de los Líos
ES,264940000,Comedy," Spanish, Castilian",2023-04-05 00:00:00,175269998.8,0,De Caperucita a loba
