Sum of budget,country,genre,language,Year,Quarter,Month,Day,Sum of revenue,Sum of score,title
2500000,AR,"Animation, Adventure, Romance"," Spanish, Castilian",2013,Qtr 3,July,18,1392649,66,Underdogs
95240000,AR,Comedy," Spanish, Castilian",2022,Qtr 3,September,8,570086135.4,70,Más respeto que soy tu madre
110000000,AR,Comedy," Spanish, Castilian",2022,Qtr 4,October,20,681644523.8,81,El gerente
114200000,AR,Comedy," Spanish, Castilian",2023,Qtr 1,January,19,241031716.6,60,The Tangalanga Method
201000000,AR,Comedy," Spanish, Castilian",2023,Qtr 1,March,1,1569323844,100,El asistente
115500000,AR,"Comedy, Drama"," Spanish, Castilian",2022,Qtr 1,March,30,365470598,64,All Hail
98500000,AR,"Comedy, Drama, Family"," Spanish, Castilian",2021,Qtr 1,February,19,461099190.8,78,BIA: An Upside Down World
84800000,AR,"Comedy, Romance, Thriller"," Spanish, Castilian",2022,Qtr 3,September,21,543128898.6,76,Little Lies
29211149.2,AR,"Comedy, Thriller, Crime"," Spanish, Castilian",2020,Qtr 1,January,16,7627100,78,The Heist of the Century
78400000,AR,Crime," Spanish, Castilian",2022,Qtr 3,July,27,935243953.4,55,Recurrence
59700000,AR,"Crime, Thriller"," Spanish, Castilian",2016,Qtr 2,April,21,406691548.2,71,At the End of the Tunnel
118800000,AR,Documentary," Spanish, Castilian",2006,Qtr 1,March,10,842846355.6,40,Porno
62100000,AR,Documentary," Spanish, Castilian",2022,Qtr 2,April,21,534518566.6,77,The Photographer: Murder in Pinamar
41500000,AR,Documentary," Spanish, Castilian",2022,Qtr 3,August,10,298690257.2,67,Bank Robbers: The Last Great Heist
100000000,AR,Drama," Spanish, Castilian",2022,Qtr 4,October,13,369861963.8,71,Noise
1800000,AR,Drama," Spanish, Castilian",2022,Qtr 4,November,5,0,83,Sublime
92400000,AR,"Drama, Crime"," Spanish, Castilian",2014,Qtr 4,October,12,781330534.6,77,The Boss: Anatomy of a Crime
100300000,AR,"Drama, Crime"," Spanish, Castilian",2022,Qtr 4,October,20,394284937.6,57,The Substitute
5377753.2,AR,"Drama, History"," Spanish, Castilian",2022,Qtr 3,September,29,871621,80,"Argentina, 1985"
667000,AR,"Drama, Mystery, Crime"," Spanish, Castilian",2018,Qtr 2,April,19,100216295,62,Perdida
120000000,AR,"Drama, Romance"," Spanish, Castilian",2016,Qtr 2,May,19,303727772.6,63,The Red Thread
123240000,AR,"Fantasy, Horror, Comedy"," Spanish, Castilian",2023,Qtr 1,January,5,647667399,70,Legions
75100000,AR,Horror," Spanish, Castilian",2018,Qtr 2,May,3,636679839.4,66,Terrified
89000000,AR,Horror," Spanish, Castilian",2021,Qtr 4,December,2,356423971.8,65,The Last Zombie
101400000,AR,Horror," Spanish, Castilian",2022,Qtr 2,April,21,531683245.8,69,Virus:32
87600000,AR,Horror," Spanish, Castilian",2022,Qtr 4,November,17,817860943.8,43,Luz Mala
52600000,AR,"Horror, Mystery"," Spanish, Castilian",2020,Qtr 4,December,4,267726003.8,56,On the Third Day
85800000,AR,"Music, Documentary"," Spanish, Castilian",2022,Qtr 4,December,8,568195972,68,Just Love and a Thousand Songs
142500000,AR,"Romance, Comedy"," Spanish, Castilian",2022,Qtr 4,December,7,341774820.8,63,The Marriage App
162100000,AR,"Romance, Drama"," Spanish, Castilian",2017,Qtr 4,October,5,437846475.2,59,Desire
115000000,AR,Thriller," Spanish, Castilian",2022,Qtr 2,April,28,604531768.4,56,Targeted
138600000,AR,Thriller," Spanish, Castilian",2022,Qtr 3,August,18,308041312.4,50,The Bush
94000000,AR,Thriller," Spanish, Castilian",2022,Qtr 3,August,25,321279166.8,63,An Argentinian Crime
151860000,AR,Thriller," Spanish, Castilian",2023,Qtr 2,April,6,485525698.4,80,La extorsión
88600000,AR,"Thriller, Drama"," Spanish, Castilian",2022,Qtr 2,June,15,365470598,64,The Wrath of God
165600000,AR,"Thriller, Drama"," Spanish, Castilian",2022,Qtr 4,December,1,372589869,50,El lado salvaje
150000000,AR,"Thriller, Fantasy, Horror"," Spanish, Castilian",2022,Qtr 3,September,29,605259782.4,58,Don't Come Back Alive
51400000,AR,"Thriller, Horror"," Spanish, Castilian",2022,Qtr 1,January,27,379851763.2,64,Echoes
122400000,AR,"Thriller, Horror"," Spanish, Castilian",2022,Qtr 4,November,9,344127931.8,55,The Last Heretic
65200000,AR,"Thriller, Romance"," Spanish, Castilian",2021,Qtr 1,March,18,374539590.8,67,Amor Bandido
94100000,AR,"Thriller, Science Fiction"," Spanish, Castilian",2020,Qtr 2,April,23,542827557.2,67,Toxic
5000000,AT,"Action, Drama, Thriller", English,2020,Qtr 1,January,10,0,61,7500
106000000,AT,"Drama, War", German,2007,Qtr 1,March,23,144565535.2,73,The Counterfeiters
70000000,AU,"", English,1979,Qtr 1,January,1,461630558,65,Cars
80300000,AU,"", English,2000,Qtr 1,January,1,321306715.6,56,"Moses, Prince of Egypt"
85600000,AU,Action, Chinese,2017,Qtr 3,September,29,412187195.8,70,Sky Hunter
10000000,AU,Action, English,1973,Qtr 4,November,1,21485066,74,Enter the Dragon
11600000,AU,Action, English,1978,Qtr 4,December,1,9884149,69,The Wild Geese
1000000,AU,Action, English,1986,Qtr 3,July,3,10499694,59,American Ninja
10000000,AU,Action, English,1990,Qtr 2,May,17,47410000,60,Hard to Kill
6000000,AU,Action, English,1990,Qtr 4,November,29,24271196,65,Lionheart
8000000,AU,Action, English,1992,Qtr 3,July,23,2275557,64,Showdown in Little Tokyo
28000000,AU,Action, English,1994,Qtr 3,September,9,30156002,61,Blown Away
35000000,AU,Action, English,1996,Qtr 1,January,11,64350171,59,Sudden Death
5000000,AU,Action, English,2003,Qtr 1,March,13,30493831.2,54,Sniper 2
40000000,AU,Action, English,2004,Qtr 1,January,22,46176322,52,Torque
15000000,AU,Action, English,2012,Qtr 4,December,6,22018988,55,The Man with the Iron Fists
105000000,AU,Action, English,2015,Qtr 1,March,10,280137286.4,56,The Man with the Iron Fists 2
11000000,AU,Action, English,2015,Qtr 3,September,2,593683,60,Tracers
20000000,AU,Action, English,2016,Qtr 2,May,12,14397593,63,Bastille Day
83800000,AU,Action, English,2019,Qtr 1,March,5,746458890.8,54,The Hard Way
66890000,AU,Action, English,2021,Qtr 1,March,1,448572309.6,62,Redemption Day
15000000,AU,Action, English,2021,Qtr 3,July,6,8804000,69,The Vault
57404639.8,AU,Action, English,2022,Qtr 1,January,1,29439,68,One Shot
48000000,AU,"Action, Adventure", Cantonese,2014,Qtr 2,June,12,171339013,62,Chinese Zodiac
