Sum of Budget($),country,Year,Quarter,Month,Day,Genre,orig_lang,Sum of Revenue($),Sum of score,Title
118800000,AR,2006,Qtr 1,March,10,documentary," Spanish, Castilian",842846356,40,Porno
2500000,AR,2013,Qtr 3,July,18,"Animation, Adventure, Romance"," Spanish, Castilian",1392649,66,Underdogs
92400000,AR,2014,Qtr 4,October,12,"Drama, Crime"," Spanish, Castilian",781330535,77,The Boss: Anatomy of a Crime
59700000,AR,2016,Qtr 2,April,21,"Crime, Thriller"," Spanish, Castilian",406691548,71,At the End of the Tunnel
120000000,AR,2016,Qtr 2,May,19,"Drama, Romance"," Spanish, Castilian",303727773,63,The Red Thread
162100000,AR,2017,Qtr 4,October,5,"Romance, Drama"," Spanish, Castilian",437846475,59,Desire
667000,AR,2018,Qtr 2,April,19,"Drama, Mystery, Crime"," Spanish, Castilian",100216295,62,Perdida
75100000,AR,2018,Qtr 2,May,3,horror," Spanish, Castilian",636679839,66,Terrified
29211149.2,AR,2020,Qtr 1,January,16,"Comedy, Thriller, Crime"," Spanish, Castilian",7627100,78,The Heist of the Century
94100000,AR,2020,Qtr 2,April,23,"Thriller, Science Fiction"," Spanish, Castilian",542827557,67,Toxic
52600000,AR,2020,Qtr 4,December,4,"Horror, Mystery"," Spanish, Castilian",267726004,56,On the Third Day
98500000,AR,2021,Qtr 1,February,19,"Comedy, Drama, Family"," Spanish, Castilian",461099191,78,BIA: An Upside Down World
65200000,AR,2021,Qtr 1,March,18,"Thriller, Romance"," Spanish, Castilian",374539591,67,Amor Bandido
89000000,AR,2021,Qtr 4,December,2,horror," Spanish, Castilian",356423972,65,The Last Zombie
51400000,AR,2022,Qtr 1,January,27,"Thriller, Horror"," Spanish, Castilian",379851763,64,Echoes
115500000,AR,2022,Qtr 1,March,30,"Comedy, Drama"," Spanish, Castilian",365470598,64,All Hail
62100000,AR,2022,Qtr 2,April,21,documentary," Spanish, Castilian",534518567,77,The Photographer: Murder in Pinamar
101400000,AR,2022,Qtr 2,April,21,horror," Spanish, Castilian",531683246,69,Virus:32
115000000,AR,2022,Qtr 2,April,28,thriller," Spanish, Castilian",604531768,56,Targeted
88600000,AR,2022,Qtr 2,June,15,"Thriller, Drama"," Spanish, Castilian",365470598,64,The Wrath of God
78400000,AR,2022,Qtr 3,July,27,crime," Spanish, Castilian",935243953,55,Recurrence
41500000,AR,2022,Qtr 3,August,10,documentary," Spanish, Castilian",298690257,67,Bank Robbers: The Last Great Heist
138600000,AR,2022,Qtr 3,August,18,thriller," Spanish, Castilian",308041312,50,The Bush
94000000,AR,2022,Qtr 3,August,25,thriller," Spanish, Castilian",321279167,63,An Argentinian Crime
95240000,AR,2022,Qtr 3,September,8,comedy," Spanish, Castilian",570086135,70,Más respeto que soy tu madre
84800000,AR,2022,Qtr 3,September,21,"Comedy, Romance, Thriller"," Spanish, Castilian",543128899,76,Little Lies
5377753.2,AR,2022,Qtr 3,September,29,"Drama, History"," Spanish, Castilian",871621,80,"Argentina, 1985"
150000000,AR,2022,Qtr 3,September,29,"Thriller, Fantasy, Horror"," Spanish, Castilian",605259782,58,Don't Come Back Alive
100000000,AR,2022,Qtr 4,October,13,drama," Spanish, Castilian",369861964,71,Noise
110000000,AR,2022,Qtr 4,October,20,comedy," Spanish, Castilian",681644524,81,El gerente
100300000,AR,2022,Qtr 4,October,20,"Drama, Crime"," Spanish, Castilian",394284938,57,The Substitute
1800000,AR,2022,Qtr 4,November,5,drama," Spanish, Castilian",0,83,Sublime
122400000,AR,2022,Qtr 4,November,9,"Thriller, Horror"," Spanish, Castilian",344127932,55,The Last Heretic
87600000,AR,2022,Qtr 4,November,17,horror," Spanish, Castilian",817860944,43,Luz Mala
165600000,AR,2022,Qtr 4,December,1,"Thriller, Drama"," Spanish, Castilian",372589869,50,El lado salvaje
142500000,AR,2022,Qtr 4,December,7,"Romance, Comedy"," Spanish, Castilian",341774821,63,The Marriage App
85800000,AR,2022,Qtr 4,December,8,"Music, Documentary"," Spanish, Castilian",568195972,68,Just Love and a Thousand Songs
123240000,AR,2023,Qtr 1,January,5,"Fantasy, Horror, Comedy"," Spanish, Castilian",647667399,70,Legions
114200000,AR,2023,Qtr 1,January,19,comedy," Spanish, Castilian",241031717,60,The Tangalanga Method
