age_rating,Count of title for movie,Count of title for movie 2,Count of title for tv,description,genre,Sum of running_time,title,type,Sum of year
A,,,1,"38-year-old Natasha is furious that her closest friends are all having babies. But when she unexpectedly ends up with a baby, her life takes a horrifying turn.",Horror,,The Baby,tv,2022
A,1,1,,"A bunch of amateurs set out to find a serial killer on the college campus, who uses social media as a tool. Can they find him before he claims his next victim?",Thriller,103,Mona Darling,movie,2017
A,1,1,,"A carrom player gets inadvertently entangled in a sprawling gang war between two mobsters, completely altering the course of his life.",Thriller,155,Vada Chennai,movie,2018
A,,,1,"A celebrated crime novelist suffering from Alzheimer's is found at a murder scene with no memory of what happened. Now, it is up to his daughter to save him.",Crime,,November Story,tv,2021
A,1,1,,"A chronicle of the tempestuous six-year romance between megastar singer, Liberace, and his young lover, Scott Thorson.",Biopic,113,Behind The Candelabra,movie,2013
A,,,1,A college student and a young yakuza boss meet and are instantly drawn to each other. The star-crossed lovers get caught up in a passionate yet dangerous romance.,Drama,,Yakuza Lover,tv,2022
A,,,1,"A comedian who has nowhere to stay when he discovers that his wife is unfaithful, leading him to reevaluate his life amidst the New York City comedy scene.",Comedy,,Crashing,tv,2017
A,1,1,,A conservative couple meets up with a wild couple while on vacation.,Comedy,103,Vacation Friends,movie,2021
A,1,1,,"A corrupt cop hatches a plan that can get his gang Rs. 5 crore. However, its mayhem all the way when the youngest member runs away with all the money.",Thriller,135,Johnny Gaddaar,movie,2007
A,1,1,,A couple meets a mysterious real estate broker who provides flats for the tenant. Every flat has its magical story.,Thriller,20,Brahmtal,movie,2021
A,1,1,,A deaf-mute boy is hopelessly in love with a girl just like him. Will he succeed in wooing the girl of his dreams with his silent love?,Romance,10,Silent Pyaar,movie,2021
A,,,1,"A disgraced IAS officer sets out to vindicate herself and takes up a strange case in Shilaspura, a land with occult practices.",Mystery,,Dahan: Raakan Ka Rahasya,tv,2022
A,,,1,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,Drama,,Rome,tv,2007
A,,,1,"A family saga that follows the lives of twin brothers in an epic story of betrayal, sacrifice and forgiveness set against the backdrop of 20th-century America.",Drama,,I Know This Much Is True,tv,2020
A,1,1,,"A film producer gets killed by his colleagues. Then, his son decides to take revenge.",Drama,131,Hunter,movie,2003
A,,,1,A former high school sports legend turned middle-aged high school basketball coach finds a way to benefit from his biggest asset.,Comedy,,Hung,tv,2009
A,,,1,A former Marine out to punish the criminals responsible for his family's murder finds himself ensnared in a military conspiracy.,Superhero,,Marvel's The Punisher,tv,2017
