Director,Index
A. L. Vijay,1926
A. L. Vijay,3407
A. Raajdheep,1272
A. Salaam,3060
A.R. Murugadoss,2535
Aadish Keluskar,1955
Aamir Bashir,3203
Aamir Khan,474
Aanand Rai,1208
Aaron Burns,4320
Aaron Hann,3269
Aaron Lieber,1523
Aaron Moorhead,483
Aaron Moorhead,4965
Aaron Nee,3523
Aaron Sorkin,951
Aaron Sorkin,4395
Aaron Woodley,1384
Aatmaram Dharne,3673
Abba T. Makama,1070
Abba T. Makama,3993
Abbas Alibhai Burmawalla,1203
Abbas Alibhai Burmawalla,2496
Abbas Alibhai Burmawalla,2497
Abbas Alibhai Burmawalla,3428
Abbas Alibhai Burmawalla,4217
Abbas Mustan,1085
Abbas Tyrewala,470
Abdellatif Kechiche,3604
Abdulaziz Alshlahei,192
Abdullah Al Noor,1712
Abel Ferrara,5271
Abhay Chopra,2704
Abhijeet Deshpande,1048
Abhijit Kokate,2008
Abhijit Panse,1234
Abhinay Deo,468
Abhinay Deo,1721
Abhinay Deo,3086
Abhishek Chaubey,1006
Abhishek Chaubey,1009
Abhishek Chaubey,3136
Abhishek Kapoor,1729
Abhishek Kapoor,2393
Abhishek Kapoor,2563
Abhishek Saxena,4572
Abhishek Sharma,1766
Abhishek Sharma,2586
Abhishek Sharma,5117
Abhishek Varman,2555
Abir Sengupta,600
Abu Bakr Shawky,5309
Adam Alleca,4813
Adam B. Stein,1558
Adam Carolla,1619
Adam Carolla,1785
Adam Collins,4534
Adam Darke,3912
Adam Del Giudice,3934
Adam Deyoe,3330
Adam Dubin,3267
Adam Egypt Mortimer,4049
Adam Larson Broder,2652
Adam Leon,3040
Adam MacDonald,3508
Adam Marino,3561
Adam McKay,258
Adam McKay,4817
Adam McKay,5071
Adam Nee,3523
Adam Nimoy,3157
Adam Randall,3113
Adam Schlesinger,4636
Adam Shankman,3395
Adam Shankman,3555
Adam Shankman,3999
Adam Smith,5203
Adam Wingard,2921
Adam Wood,3530
Adarsh Eshwarappa,4763
Adekunle Nodash Adejuyigbe,1366
Adele K. Thomas,4757
Adirek Wattaleela,194
Adisorn Tresirikasem,3526
Aditya Kripalani,396
Aditya Kripalani,5179
Aditya Sarpotdar,1985
Aditya Sarpotdar,4703
Aditya Vikram Sengupta,2051
Adrian Murray,5293
Adrian Teh,989
Adrian Teh,1270
Adrian Teh,2146
Adriana Trigiani,1289
Adrien Lagier,1453
Advait Chandan,2726
Adze Ugah,130
Adze Ugah,1546
Adze Ugah,1856
Afia Nathaniel,3826
Afonso Poyart,4831
Agasyah Karim,3552
Agnidev Chatterjee,3758
Agustí Villaronga,2951
Ahishor Solomon,4158
Ahmad El-Badri,1348
Ahmad El-Badri,1349
Ahmad El-Badri,5085
Ahmad Samir Farag,4301
Ahmed Al-Badry,1346
Ahmed El Gendy,4400
Ahmed Medhat,1432
Ahmed Nader Galal,1059
Ahmed Nader Galal,1296
Ahmed Nader Galal,1422
Ahmed Nader Galal,1434
Ahmed Saleh,1431
Ahmed Siddiqui,208
Ahmed Yousry,1414
Ahmed Zain,1314
Ahmed Zain,1930
Ahmed Zein,1317
Ahmed Zein,1318
Ahmet Katıksız,1868
Ahn Byoung-wook,1161
Ahsan Rahim,2317
Aijaz Khan,2053
Ainsley Gardiner,189
Aitor Arregi,878
Aitor Arregi,2360
Ajay Bahl,3504
Ajay Bhuyan,1641
Ajay Bhuyan,4569
Ajay Phansekar,3849
Ajithkumar,3835
Akashdeep,1028
Akhigbe Ilozobhie,1244
Akhil Paul,1285
Akihiko Yamashita,1328
Akin Omotoso,2410
Akiva Goldsman,4819
Akiva Schaffer,3101
Akiva Schaffer,4064
Akiyuki Shinbo,1698
Akram Farouk,4004
Akshay Akkineni,2494
Al Campbell,736
Alain Darborg,642
Alain Desrochers,2842
Alain Gagnol,4567
Alan Alda,360
Alan Hicks,2515
Alan J. Pakula,5075
Alan Mak,61
Alan Parker,265
Alan Poul,1377
Alan Rickman,2085
Alan Yang,1470
Alana Waksman,3805
Alankrita Shrivastava,1030
Alastair Fothergill,979
Alastair Fothergill,3930
Alastair Fothergill,4578
Alastair Fothergill,4906
Alban Teurlai,2911
Albert Hughes,4907
Alberto Rodríguez,3000
Alê Abreu,3624
Alejandra Márquez Abella,3111
Alejandro Agresti,5028
Alejandro Agresti,5266
Alejandro Doria,137
Alejandro Doria,3858
Alejandro Fernández Almendras,1932
Alejandro Fernández Almendras,3204
Alejandro G. Iñárritu,3506
Alejandro Lozano,4244
Alejandro Martinez-Beltran,2883
Alejandro Montiel,1319
Alejandro Montiel,2554
Aleksey German,2416
Aleksey Tsitsilin,556
Alessandro Angulo,1796
Alessio Cremonini,2518
Alethea Jones,2801
Alex Brewer,5142
Alex Burunova,1966
Alex Coletti,3223
Álex de la Iglesia,2889
Álex de la Iglesia,3205
Alex Díaz,327
Alex Díaz,1646
Alex Díaz,2000
Alex Garland,3866
Alex Israel,2856
Alex Law,4542
Alex Lehmann,2192
Alex Lehmann,3149
Alex Lehmann,3153
Alex Merkin,628
Alex Merkin,967
Àlex Pastor,1525
Àlex Pastor,3662
Alex Proyas,4222
Alex Proyas,4943
Alex Ranarivelo,1388
Alex Richanbach,2644
Alex Smith,5255
Alex Stapleton,1916
Alex Timbers,1339
Alex Timbers,2671
Alex Winter,4786
Alex Woo,820
Alex Woo,1397
Alex Zamm,520
Alex Zamm,2838
Alexander Smith,4851
Alexandra Dean,3617
Alexandre Aja,398
Alexandre Aja,4059
Alexandre Avancini,1743
Alexandre Avancini,2590
Alexandre Espigares,2601
Alexandre Heboyan,4431
Alexandre Reinecke,3055
Alexandros Avranas,3759
Alexis Morante,452
Alexis Morante,2591
Alexis Morante,3430
Alexx Media,768
Alfons Adetuyi,1628
Alfonso Arau,4274
Alfonso Cortés-Cavanillas,1624
Alfonso Cuarón,2310
Alfonso Cuarón,4790
Alfonso Cuarón,5303
Alfonso Rodríguez,2673
Alfonso Serrano Maturino,3412
Alfred Gimeno,4407
Ali Bin Matar,2851
Ali F. Mostafa,1278
Ali F. Mostafa,2830
Ali Kalthami,1575
Ali Ragab,1347
Ali Ragab,1352
Ali Samadi Ahadi,2852
Ali Scher,2942
Ali Taner Baltacı,3998
Ali Taner Baltacı,4047
Ali Yorgancıoğlu,1458
Alice Mathias,736
Alice Rohrwacher,2338
Alice Waddington,31
Alice Wu,1402
Alicky Sussman,5285
Alik Sakharov,3256
Alison Klayman,3426
Alison MacLean,5099
Alistair Legrand,3124
Alistair Legrand,4957
Allan Jacobsen,789
Allan Ungar,3230
Allen Coulter,4632
Allen Hughes,4907
Ally Pankiw,323
Almunsif Alsuwaisi,1332
Alo Sarkar,2849
Alphonso J. Wesson,4185
Álvaro Brechner,2284
Álvaro Delgado-Aparicio L.,1145
Amaan Khan,4325
Amal Neerad,2668
Amalie Næsby Fick,5015
Amanda Raymond,797
Amandha Wyanto,1058
Amar Gupte,4075
Amar Kaushik,2028
Amara Cash,3749
Amardeep Singh Gill,4161
Amarpreet G S Chabbra,2465
Amber Tamblyn,4541
Amin Dora,933
Amir Galvan Cervera,4881
Amir Mohiuddin,4619
Amit Barot,2747
Amit Rai,4647
Amit Roy,2677
Amit Saxena,2489
Amitabha Singh,2095
Amitava Bhattacharya,4626
Amitoj Mann,2385
Amitoj Mann,2464
Amitoj Mann,2481
Amman Abbasi,3764
Amol Palekar,2711
Amr Arafa,1429
Amr Arafa,4690
Amr Arafa,4940
Amr Salama,379
Amro Salah,1174
Amshan Kumar,2220
Amy Poehler,598
Amy Poehler,2061
Amy Rice,79
Amy Schumer,2135
Amy Schumer,3083
Amy Segal,980
Ana Kokkinos,4026
Ana Lily Amirpour,2891
Ana Quiroga,4306
Anand Ravichandran,1502
Anand Tiwari,2766
Anand Tucker,4255
Ananda Krishnan,2709
Anant Balani,2092
Ananth Narayan Mahadevan,3987
Anas Khan,1285
Andaç Haznedaroğlu,1294
Andibachtiar Yusuf,742
Andibachtiar Yusuf,1608
Andibachtiar Yusuf,1880
André D'Elia,2242
André Odendaal,1173
André Øvredal,4896
Andrea Arnold,3457
Andrea Molaioli,3045
Andreas Prochaska,3121
Andrés Beltrán,2005
Andrés Couturier,4233
Andrés Feddersen,1333
Andrew Bergman,4830
Andrew Bujalski,3266
Andrew C. Erin,4021
Andrew Davis,435
Andrew Dean,1609
Andrew Dominik,279
Andrew Douglas,4889
Andrew Duncan,604
Andrew Duncan,4404
Andrew Duncan,4412
Andrew Fleming,4941
Andrew Goth,1663
Andrew J. Smith,5255
Andrew Jenks,342
Andrew Lau Wai-keung,61
Andrew Lau Wai-keung,2318
Andrew Lau Wai-keung,2330
Andrew Lau Wai-keung,4639
Andrew Loo,4639
Andrew Meier,4532
Andrew Mogel,4946
Andrew Nackman,3357
Andrew Niccol,2659
Andrew Niccol,3976
Andrew Renzi,3900
Andrew Sandler,3698
Andrew Slater,1849
Andrew Stanton,4157
Andrew Sullivan,3615
Andrew Tan,3533
Andrew Tan,4265
Andrew Wessels,1693
Andrucha Waddington,769
Andrzej Bartkowiak,340
Andrzej Bartkowiak,3815
Andrzej Bartkowiak,3869
Andy Caballero,2239
Andy Capper,4629
Andy Devonshire,2
Andy Fickman,2686
Andy Fickman,4605
Andy Goddard,3380
Andy Serkis,2314
Andy Tennant,345
Andy Tennant,3015
Andy Tennant,4045
Andy Tennant,4136
Andy Tennant,4909
Anees Bazmee,1013
Anees Bazmee,2577
Anees Bazmee,2848
Anees Bazmee,3777
Anees Bazmee,4470
Anees Bazmee,4621
Anél Stolp,1605
Ang Lee,3742
Ange Basterga,589
Ángel Gómez Hernández,822
Angel Kristi Williams,110
Ángeles Reiné,675
Angelina Jolie,1590
Angelina Jolie,2894
Angga Dwimas Sasongko,505
Angga Dwimas Sasongko,1325
Angga Dwimas Sasongko,3647
Angga Dwimas Sasongko,3891
Angga Dwimas Sasongko,4849
Anggy Umbara,2108
Angshuman Ghosh,1315
Aniedi Anwah,1147
Anik Datta,2431
Anil Sharma,4769
Anil Thomas,4379
Anil V. Kumar,96
Aniruddha Roy Chowdhury,3117
Anissa Bonnefont,280
Anita Barbosa,2995
Anita Udeep,1953
Anjum Shahzad,2508
Ann Deborah Fishman,428
Anna Boden,4390
Anna Elizabeth James,565
Anna Migotto,1215
Anna Wieczur-Bluszcz,803
Anne Fletcher,2313
Anne Fontaine,3419
Anneliese Vandenberg,1617
Annie Clark,5300
Anoop Sathyan,1446
Anthony Abrams,2652
Anthony Bell,4473
Anthony Byrne,2514
Anthony Caronna,4851
Anthony Chan,4426
Anthony D'Souza,1186
Anthony D'Souza,3503
Anthony Giordano,3189
Anthony Lucero,3831
Anthony Mandler,406
Anthony Minghella,48
Anthony Minghella,5132
Anthony Palmer,4803
Anthony Pierce,3278
Anthony Russo,3501
Anthony Scott Burns,4049
Anthony Scott Burns,4533
Anthony Veiller,5214
Anthony Wonke,3559
Antoine Bardou-Jacquet,4417
Antoine Fuqua,15
Antoine Fuqua,80
Antoine Fuqua,2070
Antoine Fuqua,3634
Antoinette Jadaone,294
Antoinette Jadaone,766
Antoinette Jadaone,881
Antoinette Jadaone,1071
Antoinette Jadaone,2160
Anton Corbijn,259
Antoni Krauze,5267
Antonin Baudry,2009
Antonio Campos,1036
Antonio Campos,1120
Antonio Campos,1121
Antonio Campos,3422
Antonio Chavarrías,4931
Antonio Morabito,2661
Antonio Piazza,4765
Antonio Serrano,3050
Antonio Serrano,4744
Anu Menon,3234
Anu Menon,5251
Anubhav Sinha,1921
Anurag Basu,96
Anurag Basu,871
Anurag Basu,2376
Anurag Basu,2397
Anurag Basu,2467
Anurag Kashyap,845
Anurag Kashyap,850
Anurag Kashyap,1185
Anurag Kashyap,1290
Anurag Kashyap,1681
Anurag Kashyap,1949
Anurag Kashyap,2461
Anurag Kashyap,2630
Anurag Kashyap,5222
Anurag Singh,4599
Anuranjan Premji,3690
Anusha Rizvi,473
Anvita Dutt,1238
Apirak Samudkitpaisan,194
Apoorva Lakhia,102
Apoorva Lakhia,107
Appie Boudellah,517
April Mullen,3560
Apurva Dhar Badgaiyann,1245
Aram van de Rest,517
Arati Kadav,1061
Archie Borders,1903
Archie Hekagery,731
Ari Folman,4939
Ari Levinson,3889
Ari Sandel,2769
Ari Sandel,3984
Ariel Boles,1144
Ariel Schulman,1118
Ariel Vromen,2516
Arjun Gourisaria,4820
Arjun Jandyala,1798
Armando Iannucci,1480
Arnab Chaudhuri,2374
Arne Birkenstock,3676
Arnon Manor,734
Artemis Joukowsky,3778
Arthur Allan Seidelman,3304
Arthur Muhammad,3897
Arthur Penn,3619
Arun Chidambaram,2978
Arun Vaidyanathan,4465
Aruna Raje,2191
Arvind Swamy,132
Asghar Farhadi,3389
Asghar Farhadi,3864
Ash Brannon,203
Ashish R. Mohan,5269
Ashish R. Shukla,4589
Ashley York,3275
Ashok Nanda,1386
Ashok Nanda,4646
Ashu Trikha,5238
Ashutosh Gowariker,471
Ashutosh Gowariker,1114
Ashutosh Gowariker,1601
Ashutosh Gowariker,2469
Ashutosh Gowariker,2571
Ashutosh Gowariker,2749
Ashwin Saravanan,1943
Ashwiny Iyer Tiwari,2541
Asif Kapadia,3461
Asif Kapadia,4738
Asim Abbasi,3649
Asim Raza,4046
Asri Bendacha,3906
Atanu Ghosh,3325
Atanu Ghosh,3406
Atanu Mukherjee,4665
Atharv Baluja,2470
Athiyan Athirai,1561
Atlee Kumar,2542
Atom Egoyan,3697
Atom Egoyan,4631
Atom Egoyan,4923
Atsajun Sattakovit,4447
Atsuko Ishizuka,1746
Attila Till,4211
Atul Kale,4355
Atul Malhotra,3446
Atul Sabharwal,1103
Aubrey Powell,2448
Audu Paden,4411
Audu Paden,4412
August Jakobsson,802
Augustine Frizzell,186
Augusto Matte,3498
Aurora Guerrero,351
Austin Kolodney,3805
Austin Peck,1617
Austin Stark,5111
Ava DuVernay,641
Ava DuVernay,644
Ava DuVernay,1341
Ava DuVernay,3397
Avadhoot Gupte,4420
Avadhoot Gupte,5326
Avinash Arun,3059
Avinash Das,3469
Avinash Walzade,864
Awi Suryadi,2120
Axelle Laffont,1168
Ayaan Mukherji,2505
Ayman Makram,1279
Aytaç Ağırlar,4107
Ayumu Watanabe,1081
Ayush Raina,4060
Azazel Jacobs,1814
Azfar Jafri,4148
Aziz Ansari,3284
Aziz Mirza,2475
Aziz Mirza,2609
Aziz Mirza,2712
B. Subhash,963
B. Unnikrishnan,2387
B. V. Nandini Reddy,626
B. V. Nandini Reddy,1914
B.N. Shajeer Sha,4259
Babak Anvari,3127
Bagus Bramanti,695
Bahij Hojeij,281
Baljit Singh Deo,2327
Baljit Singh Deo,2480
Baltasar Kormákur,1078
Balu Mahendra,4680
Banjong Pisanthanakun,4517
Banjong Pisanthanakun,4557
Banjong Pisanthanakun,4570
Banjong Pisanthanakun,4764
Bao Nhan,313
Barak Goodman,3452
Baran bo Odar,402
Baran bo Odar,615
Barbara Białowąs,1284
Barbara Kopple,4386
Barbra Streisand,363
Barbra Streisand,2834
Barney Clay,4762
Barry Avrich,1219
Barry Avrich,4596
Barry Gonzalez,825
Barry Jenkins,4416
Barry Levinson,211
Barry Levinson,605
Barry Levinson,5066
Barry Sonnenfeld,4369
Barry Sonnenfeld,4370
Barry Sonnenfeld,5286
Bart Freundlich,5294
Bartosz M. Kowalski,912
Bas van Teylingen,3765
Basava Shankar Eeday,1776
Bashir El Deek,537
Bassam Kurdali,3841
Basu Chatterjee,4612
Basu Chatterjee,4852
Bauddhayan Mukherji,3165
Baz Luhrmann,4828
BB Sasore,515
BB Sasore,833
BB Sasore,1744
Bedabrata Pain,3695
Bedran Güzel,457
Bedran Güzel,1418
Bedran Güzel,1908
Beeban Kidron,5183
Bejoy Nambiar,132
Bejoy Nambiar,541
Bejoy Nambiar,1206
Ben A. Williams,5073
Ben Brewer,5142
Ben C. Lucas,4530
Ben Falcone,503
Ben Foster,485
Ben Kasulke,1151
Ben Palmer,4332
Ben Patterson,4319
Ben Pluimer,4459
Ben Ryder,3791
Ben Shelton,2679
Ben Simms,629
Ben Stassen,607
Ben Wallis,2895
Ben Wheatley,928
Ben Wheatley,1854
Ben Young,2585
Ben Younger,3599
Benedict Andrews,5223
Benjamin Arfmann,3798
Benjamin Dickinson,3155
Benjamin Ree,4324
Benjamin Ross,5173
Benjamin Turner,4087
Benjamin Turner,5282
Benjamin Weill,3187
Benny Fine,3874
Benny Fredman,4837
Benny Safdie,1324
Benny Safdie,1607
Benoît Jacquot,3792
Benoît Philippon,4431
Benson Lee,2817
Bernard Rose,3656
Bernardo Arellano,1104
Bernie Denk,818
Bernie Denk,1929
Bert Marcus,2316
Beth Sleven,789
Bette Gordon,4959
Betty Thomas,3350
Bhagyaraj,4545
Bharat Jain,3363
Bharat Nalluri,4375
Bhavin Wadia,1154
Bhushan Patel,106
Bigflo & Oli,971
Bilal Lashari,5249
Bill Condon,197
Bill Condon,198
Bill D'Elia,2971
Bill D'Elia,3283
Bill Guttentag,4522
