Sum of Action_&_Adventure,Sum of Anime_Features,Sum of Anime_Series,Sum of British_TV_Shows,cast,Sum of Children_&_Family_Movies,Sum of Classic_&_Cult_TV,Sum of Classic_Movies,Sum of Comedies,country,Sum of Crime_TV_Shows,Sum of Cult_Movies,Year,Quarter,Month,Day,Sum of day_added,description,director,Sum of Documentaries,Sum of Docuseries,Sum of Dramas,duration,Sum of Faith_&_Spirituality,Sum of Horror_Movies,Sum of Independent_Movies,Sum of International_Movies,Sum of International_TV_Shows,Sum of Kids'_TV,Sum of Korean_TV_Shows,Sum of LGBTQ_Movies,listed_in,Sum of month_added,Sum of Movies,Sum of Music_&_Musicals,rating,Sum of Reality_TV,Sum of release_year,Sum of Romantic_Movies,Sum of Romantic_TV_Shows,Sum of Sci-Fi_&_Fantasy,Sum of Science_&_Nature_TV,Sum of Spanish-Language_TV_Shows,Sum of Sports_Movies,Sum of Stand-Up_Comedy,Sum of Stand-Up_Comedy_&_Talk_Shows,Sum of Teen_TV_Shows,Sum of Thrillers,title,Sum of TV_Action_&_Adventure,Sum of TV_Comedies,Sum of TV_Dramas,Sum of TV_Horror,Sum of TV_Mysteries,Sum of TV_Mysteries,Sum of TV_Mysteries,Sum of TV_Mysteries,Sum of TV_Sci-Fi_&_Fantasy,Sum of TV_Shows,Sum of TV_Thrillers,type,Sum of User_Rating,Sum of year_added
0,0,0,0,12,0,0,0,,0,0,0,,,,,0,0,2018,0,0,0,0,,0,0,44,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,,15,1,0,0,,0,0,0,0,,0,0," and probably will.""",,0
1,0,0,0,"50 Cent, Ryan Phillippe, Bruce Willis, Rory Markham, Jenna Dewan, Brett Granstaff, Randy Couture, Susie Abromeit, Ron Turner, James Remar",0,0,0,0,United States,0,0,2020,Qtr 1,January,10,10,"A diamond heist goes horribly wrong, and the group of friends who sought to make a fortune must instead fight for their very survival.",Mike Gunther,0,0,0,85 min,0,0,0,0,0,0,0,0,Action & Adventure,1,0,0,R,0,2011,0,0,0,0,0,0,0,0,0,0,Set Up,0,0,0,0,0,0,0,0,0,0,0,Movie,85,2020
0,0,0,0,"A.J. LoCascio, Sendhil Ramamurthy, Fred Tatasciore, Jake Johnson, Lauren Lapkus, Zachary Levi, BD Wong, David Gunning",1,0,0,1,United States,0,0,2016,Qtr 4,October,4,4,The scientists of Jurassic World create a captivating and terrifying new creature that loves hot dogs. But what happens when the hot dogs run out?,Michael D. Black,0,0,0,25 min,0,0,0,0,0,0,0,0,"Children & Family Movies, Comedies",10,1,0,TV-Y7,0,2016,0,0,0,0,0,0,0,0,0,0,LEGO Jurassic World: The Indominus Escape,0,0,0,0,0,0,0,0,0,0,0,Movie,36,2016
0,0,0,0,"Aadhi, Tapsee Pannu, Ritika Singh, Vennela Kishore, Sapthagiri",0,0,0,0,India,0,0,2019,Qtr 1,February,15,15,"When a blind chef’s girlfriend goes missing, his unnerving search for her leads him to find there's more to her disappearance than what meets the eye.",Hari Nath,0,0,1,132 min,0,0,0,1,0,0,0,0,"Dramas, International Movies, Romantic Movies",2,1,0,TV-14,0,2018,1,0,0,0,0,0,0,0,0,0,Neevevaro,0,0,0,0,0,0,0,0,0,0,0,Movie,70,2019
0,0,0,0,"Aadil Khan, Sadia Khateeb, Zain Khan Durrani, Priyanshu Chatterjee, Bhavna Chauhan, Ashwin Dhar, Farid Azad Khan, Saghar Sehrai",0,0,0,0,India,0,0,2021,Qtr 3,September,2,2,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,Vidhu Vinod Chopra,0,0,1,115 min,0,0,0,1,0,0,0,0,"Dramas, International Movies, Romantic Movies",9,1,0,TV-14,0,2020,1,0,0,0,0,0,0,0,0,0,Shikara,0,0,0,0,0,0,0,0,0,0,0,Movie,85,2021
0,0,0,0,"Aamina Sheikh, Sanam Saeed, Adnan Malik, Mohammad Ahmad, Beo Rana Zafar, Faris Khalid, Hira Hussain, Mikaal Zulfiqar",0,0,0,1,"United Kingdom, Pakistan",0,0,2019,Qtr 2,May,15,15,"When their aging father’s illness reunites two sisters under one roof, new tensions arise between them as old wounds and hidden secrets surface.",Asim Abbasi,0,0,1,125 min,0,0,0,1,0,0,0,0,"Comedies, Dramas, International Movies",5,1,0,TV-MA,0,2018,0,0,0,0,0,0,0,0,0,0,Cake,0,0,0,0,0,0,0,0,0,0,0,Movie,62,2019
0,0,0,0,"Aamir Khan, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Parikshat Sahni, Sushant Singh Rajput, Boman Irani, Rukhsar",0,0,0,1,India,0,0,2018,Qtr 3,September,6,6,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,Rajkumar Hirani,0,0,1,146 min,0,0,0,1,0,0,0,0,"Comedies, Dramas, International Movies",9,1,0,TV-14,0,2014,0,0,0,0,0,0,0,0,0,0,PK,0,0,0,0,0,0,0,0,0,0,0,Movie,90,2018
0,0,0,0,"Aamir Khan, Ashutosh Gowariker",0,0,0,0,India,0,0,2021,Qtr 2,April,17,17,"The story of making ""Lagaan,"" one of the millennium's seminal Indian films, is told from the point of view of production team member Satyajit Bhatkal.",Satyajit Bhatkal,1,0,0,141 min,0,0,0,1,0,0,0,0,"Documentaries, International Movies",4,1,0,TV-14,0,2004,0,0,0,0,0,0,0,0,0,0,Madness in the Desert,0,0,0,0,0,0,0,0,0,0,0,Movie,83,2021
0,0,0,0,"Aamir Khan, Darsheel Safary, Tanay Chheda, Tisca Chopra, Vipin Sharma, Girija Oak, M.K. Raina",0,0,0,0,India,0,0,2021,Qtr 2,April,17,17,"When daydreamer Ishaan is sent to boarding school, an unconventional art teacher tries to help the imaginative student discover his true identity.",Aamir Khan,0,0,1,162 min,0,0,0,1,0,0,0,0,"Dramas, International Movies",4,1,0,PG,0,2007,0,0,0,0,0,0,0,0,0,0,Taare Zameen Par,0,0,0,0,0,0,0,0,0,0,0,Movie,88,2021
0,0,0,0,"Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Kulbhushan Kharbanda, Raghuvir Yadav, Yashpal Sharma, Rajendranath Zutshi, Rajesh Vivek, Aditya Lakhia",0,0,0,0,"India, United Kingdom",0,0,2021,Qtr 2,April,17,17,"In 1890s India, an arrogant British commander challenges the harshly taxed residents of Champaner to a high-stakes cricket match.",Ashutosh Gowariker,0,0,1,224 min,0,0,0,1,0,0,0,0,"Dramas, International Movies, Music & Musicals",4,1,1,PG,0,2001,0,0,0,0,0,0,0,0,0,0,Lagaan,0,0,0,0,0,0,0,0,0,0,0,Movie,52,2021
0,0,0,0,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",0,0,0,1,India,0,0,2021,Qtr 2,April,1,1,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",Rajkumar Hirani,0,0,1,164 min,0,0,0,1,0,0,0,0,"Comedies, Dramas, International Movies",4,1,0,PG-13,0,2009,0,0,0,0,0,0,0,0,0,0,3 Idiots,0,0,0,0,0,0,0,0,0,0,0,Movie,55,2021
0,0,0,0,"Aamir Khan, Karisma Kapoor, Suresh Oberoi, Johnny Lever, Navneet Nishan, Veeru Krishnan, Kunal Khemu, Pramod Moutho, Mohnish Bahl",0,0,0,0,India,0,0,2017,Qtr 2,May,1,1,"When a poor taxi driver falls in love with a wealthy young woman, he must stand up to her family and contend with his own insecurities.",Dharmesh Darshan,0,0,1,177 min,0,0,0,1,0,0,0,0,"Dramas, International Movies, Romantic Movies",5,1,0,TV-14,0,1996,1,0,0,0,0,0,0,0,0,0,Raja Hindustani,0,0,0,0,0,0,0,0,0,0,0,Movie,75,2017
0,0,0,0,"Aamir Khan, Madhuri Dixit, Saeed Jaffrey, Deven Verma, Anupam Kher, Shammi, Padma Rani, Rajesh Puri, Satyendra Kapoor",0,0,0,1,India,0,0,2020,Qtr 4,October,12,12,A miser’s scheme to set his son up with a millionaire’s daughter backfires when the two actually fall in love — just as his sly charade is revealed.,Indra Kumar,0,0,1,165 min,0,0,0,1,0,0,0,0,"Comedies, Dramas, International Movies",10,1,0,TV-14,0,1990,0,0,0,0,0,0,0,0,0,0,Dil,0,0,0,0,0,0,0,0,0,0,0,Movie,44,2020
0,0,0,0,"Aamir Khan, Manisha Koirala, Sharmila Tagore, Dipti Bhatnagar, Dalip Tahil, Anil Kapoor",0,0,0,0,India,0,0,2020,Qtr 3,September,28,28,"A smooth talker falls for a music teacher aboard a cruise, but a cruel twist of fate hinders their plans to meet again months later.",Indra Kumar,0,0,1,173 min,0,0,0,1,0,0,0,0,"Dramas, International Movies, Romantic Movies",9,1,0,TV-14,0,1999,1,0,0,0,0,0,0,0,0,0,Mann,0,0,0,0,0,0,0,0,0,0,0,Movie,77,2020
0,0,0,0,"Aamir Khan, Monica Dogra, Kriti Malhotra, Prateik Babbar, Aasha Pawar, Jyoti Pawar, Norma Lobo, Kitu Gidwani, Danish Husain, Jehan Manekshaw",0,0,0,0,India,0,0,2021,Qtr 2,April,17,17,"In this intimate drama, circumstances draw together four people from different castes – which would normally preclude them from forming friendships.",Kiran Rao,0,0,1,102 min,0,0,0,1,0,0,0,0,"Dramas, International Movies",4,1,0,TV-MA,0,2010,0,0,0,0,0,0,0,0,0,0,Dhobi Ghat (Mumbai Diaries),0,0,0,0,0,0,0,0,0,0,0,Movie,37,2021
0,0,0,0,"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui, Shernaz Patel, Sheeba Chaddha",0,0,0,0,India,0,0,2019,Qtr 4,December,15,15,"Set in the jumbled landscape of Mumbai, this mystery drama centers on a police inspector who's trying to cope with the collapse of his marriage.",Reema Kagti,0,0,1,140 min,0,0,0,1,0,0,0,0,"Dramas, International Movies, Thrillers",12,1,0,TV-14,0,2012,0,0,0,0,0,0,0,0,0,1,Talaash,0,0,0,0,0,0,0,0,0,0,0,Movie,47,2019
