genre,rating,Sum of release_year,runtime,title
Action,13+,1982,100 min,Shao Lin Temple
Action,13+,2015,105 min,Hood
Action,13+,1972,106 min,Fist of Fury
Action,13+,1925,111 min,"Don Q, Son of Zorro (Silent)"
Action,13+,2020,111 min,Mafia: Chapter 1
Action,13+,2017,121 min,Rangoon
Action,13+,1922,121 min,Robin Hood (Silent)
Action,13+,2013,122 min,David
Action,13+,2021,123 min,Bell Bottom
Action,13+,2010,123 min,Khuda kasam
Action,13+,2021,123 min,Rewind
Action,13+,2019,150 min,Mamangam
Action,13+,2006,152 min,Dhoom:2
Action,13+,2009,154 min,Madurai Sambavam
Action,13+,2019,170 min,Sye Raa Narasimha Reddy (Hindi)
Action,13+,2019,170 min,Sye Raa Narasimha Reddy (Malayalam)
Action,13+,2019,170 min,Sye Raa Narasimha Reddy (Tamil)
Action,13+,2019,170 min,Sye Raa Narasimha Reddy (Telugu)
Action,13+,2019,46 min,"One too much school, the kidnapping of the victor"
Action,13+,1932,62 min,The Most Dangerous Game
Action,13+,2007,73 min,Pancho Villa
Action,13+,1976,80 min,"Ebony, Ivory and Jade"
Action,13+,1982,86 min,Santo: The Fury Of The Karate Masters
Action,13+,1954,89 min,Robinson Crusoe
Action,13+,2012,92 min,Iron Monkey 2
Action,13+,2000,92 min,The King's Guard
Action,13+,2019,93 min,BLACKFOX: Age of the Ninja
Action,13+,2020,93 min,Karuppu Aadu
Action,13+,1997,94 min,Kick of Death
Action,13+,2019,95 min,BHAKSHAKARU (Kannada)
Action,16+,2021,1 min,Clip: Validation Check CAPI
Action,16+,2016,100 min,Lift
Action,16+,2015,100 min,Outcast
Action,16+,1973,100 min,Steel Arena
Action,16+,2020,106 min,Mixed Up
Action,16+,2018,109 min,The Consequence
Action,16+,2019,110 min,Kruty 1918
Action,16+,1995,111 min,The Adventurers
Action,16+,2019,113 min,The Rookies
Action,16+,2009,117 min,Dark planet
Action,16+,2020,120 min,The Kung Fu Master
Action,16+,2019,125 min,The Rising Hawk
Action,16+,2021,135 min,Shershaah
Action,16+,2015,140 min,Assassination
Action,16+,2021,140 min,Cold Case
Action,16+,2021,33 min,Shadow Valley
Action,16+,2021,36 min,Corridor Digital
Action,16+,2021,44 min,KFF's Bad Kill
