genre,rating,Sum of release_year,Sum of runtime,title
Action,A,2009,127,AA
Action,A,1992,114,Alien3
Action,A,1986,137,Aliens
Action,A,2007,89,Aliens vs. Predator - Requiem
Action,A,1997,115,Con Air
Action,A,1982,128,Conan the Barbarian
Action,A,1999,121,End Of Days
Action,A,2010,111,Lamhaa
Action,A,2006,137,Mesthri for the Society
Action,A,2017,93,Overlord: The Dark Hero
Action,A,2017,102,Overlord: The Undead King
Action,A,1990,107,Predator 2
Action,A,2009,102,Predators
Action,A,2022,99,Prey
Action,A,2018,140,Red Sparrow
Action,A,2011,134,Shagird
Action,A,2021,152,The Last Duel
Action,A,2022,93,The Princess
Action,U,2001,148,Deewanapan
Action,U,1995,150,Devdoot
Action,U,4019,298,Guru
Action,U,2009,96,Kistimaat
Action,U,2020,45,LEGO Star Wars Holiday Special
Action,U,2022,105,Lightyear
Action,U,2013,141,Loveria
Action,U,2011,116,Mohaan Aawatey
Action,U,2013,143,Nenjamellam Pala Vannam
Action,U,1981,111,Paanch Qaidi
Action,U,2001,149,Pratibad
Action,U,1999,155,Safari
Action,U,2018,145,Sarkar
Action,U,2004,141,Surya
Action,U,2017,120,Taqdeer
Action,U,2017,62,Team 5
Action,U,2021,135,Teddy
Action,U,2013,143,The Lone Ranger
Action,U,2007,127,Tulkalam
Action,U,2004,148,Udayam
Action,U,2014,133,Varsham
Action,U,2018,126,Villain
Action,U/A 13+,2015,133,10 Endrathukulla
Action,U/A 13+,2019,123,118
Action,U/A 13+,2017,110,1971 Beyond Borders
Action,U/A 13+,2017,126,A Gentleman
Action,U/A 13+,2012,141,A.K.56.
Action,U/A 13+,2011,135,Aadu Puli
Action,U/A 13+,2000,150,Aaghaaz
Action,U/A 13+,2011,131,Acharya
Action,U/A 13+,2016,138,Action Hero Biju
Action,U/A 13+,2006,151,Adavi Biddalu
Action,U/A 13+,2007,126,Ajith Billa
Action,U/A 13+,2015,99,Akhil
Action,U/A 13+,2010,144,Alexander the Great
Action,U/A 13+,2019,121,Alita: Battle Angel
Action,U/A 13+,2016,149,Anbudan Appavukku
Action,U/A 13+,1974,154,Angathattu
Action,U/A 13+,1999,127,Ankusha
Action,U/A 13+,2018,161,Aravinda Sametha Veera Raghava
Action,U/A 13+,2011,166,Arjun
Action,U/A 13+,2006,134,Asadyudhu
Action,U/A 13+,2006,155,Ashok
Action,U/A 13+,2006,111,Ashwaroodan
Action,U/A 13+,2005,172,Athadu
Action,U/A 13+,2020,144,Baaghi 3
Action,U/A 13+,2015,152,Baahubali - The Beginning
Action,U/A 13+,2006,117,Bada Dosth
Action,U/A 13+,4028,292,Bang Bang
Action,U/A 13+,2004,142,Barood
Action,U/A 13+,1991,164,Benaam Badsha
Action,U/A 13+,2015,143,Bengal Tiger
Action,U/A 13+,2015,112,Bhaag Johnny
Action,U/A 13+,2018,161,Bharath Ennum Naan
Action,U/A 13+,1991,129,Bhargav
Action,U/A 13+,2008,134,Bhargavacharitham Moonam Khandam
Action,U/A 13+,2017,160,Bharjari
Action,U/A 13+,2021,113,Bhuj: The Pride of India
Action,U/A 13+,2022,132,Bidyarana
Action,U/A 13+,2011,125,Bodyguard
Action,U/A 13+,2017,134,Bogan
Action,U/A 13+,2014,146,Bohurupi
Action,U/A 13+,2014,131,Borbaad
Action,U/A 13+,2017,145,Boss 2
Action,U/A 13+,2005,131,Boyy Friend
Action,U/A 13+,2015,144,Brucelee 2
Action,U/A 13+,2008,128,Bullet
Action,U/A 13+,2012,159,Bullet Raja
Action,U/A 13+,2013,130,Bullett Raja
Action,U/A 13+,2012,131,Businessman
Action,U/A 13+,2010,130,Cara Majaka
Action,U/A 13+,2006,141,Chacko Randaman
Action,U/A 13+,2003,135,Chakram
Action,U/A 13+,2012,155,Challenge 2
Action,U/A 13+,2015,134,Charlie
Action,U/A 13+,1987,115,Chilambu
Action,U/A 13+,2006,149,Chinthamani Kolacase
Action,U/A 13+,2011,172,Christian Brothers
Action,U/A 13+,1983,94,Coolie
Action,U/A 13+,2004,107,Crime Story
Action,U/A 13+,2005,125,Danger
Action,U/A 13+,2017,124,Daring Raajakumara
Action,U/A 13+,2005,107,Deepangal Sakshi
Action,U/A 13+,2008,103,Deewar
