genre,rating,Sum of release_year,runtime,title
Action & Adventure,PG-13,2005,101 min,XXX: State of the Union
Action & Adventure,PG-13,2006,102 min,16 Blocks
Action & Adventure,PG-13,2018,103 min,The Hurricane Heist
Action & Adventure,PG-13,2008,106 min,Quantum of Solace
Action & Adventure,PG-13,2010,107 min,Takers
Action & Adventure,PG-13,1997,108 min,Dante's Peak
Action & Adventure,PG-13,2008,109 min,"10,000 B.C."
Action & Adventure,PG-13,1994,111 min,The River Wild
Action & Adventure,PG-13,2014,117 min,3 Days to Kill
Action & Adventure,PG-13,2003,117 min,S.W.A.T.
Action & Adventure,PG-13,1997,119 min,Tomorrow Never Dies
Action & Adventure,PG-13,1990,120 min,Quigley Down Under
Action & Adventure,PG-13,1999,128 min,The World Is Not Enough
Action & Adventure,PG-13,1995,130 min,GoldenEye
Action & Adventure,PG-13,2002,133 min,Die Another Day
Action & Adventure,PG-13,2006,145 min,Casino Royale
Action & Adventure,PG-13,1994,191 min,Wyatt Earp
Action & Adventure,PG-13,2008,90 min,Vantage Point
Action & Adventure,PG-13,2015,94 min,Tracers
Action & Adventure,R,2018,100 min,All the Devil's Men
Action & Adventure,R,2001,101 min,Exit Wounds
Action & Adventure,R,2016,101 min,Lady Bloodfight
Action & Adventure,R,2017,102 min,First Kill
Action & Adventure,R,2018,102 min,Peppermint
Action & Adventure,R,2019,103 min,Rogue Warfare
Action & Adventure,R,2007,103 min,War
Action & Adventure,R,2016,104 min,In a Valley of Violence
Action & Adventure,R,2020,104 min,Rogue Warfare: The Hunt
Action & Adventure,R,2012,105 min,El último testigo
Action & Adventure,R,2019,106 min,Inside Man: Most Wanted
Action & Adventure,R,2009,106 min,The Taking of Pelham 123
Action & Adventure,R,2016,107 min,Marauders
Action & Adventure,R,2013,108 min,Machete Kills
Action & Adventure,R,2012,109 min,End of Watch
Action & Adventure,R,2012,110 min,Act of Valor
Action & Adventure,R,2017,110 min,Kickboxer: Retaliation
Action & Adventure,R,2017,111 min,Death Race: Beyond Anarchy
Action & Adventure,R,2003,111 min,Kill Bill: Vol. 1
Action & Adventure,R,2017,112 min,American Assassin
Action & Adventure,R,2020,113 min,Project Power
Action & Adventure,R,2015,114 min,Gridlocked
Action & Adventure,R,2015,115 min,Last Knights
Action & Adventure,R,2021,116 min,Outside the Wire
Action & Adventure,R,2020,117 min,Extraction
Action & Adventure,R,1992,117 min,Patriot Games
Action & Adventure,R,2000,117 min,The Art of War
Action & Adventure,R,2013,119 min,Olympus Has Fallen
Action & Adventure,R,2019,121 min,Angel Has Fallen
Action & Adventure,R,1997,124 min,The Peacemaker
